房名信息,地点,房屋情况,房源情况,所在地区,关注/发布时间,价格（万）,单价
力高花园大4房，大门前面是天虹，看房有钥匙,力高君御国际 , | 4室2厅 | 88.72平米 | 南 | 毛坯,中楼层(共35层)2016年建板塔结合  -  ,坪山,29人关注 / 9个月以前发布,345,单价38887元/平米
荷坳地铁口，业主诚心售，东南朝向有钥匙随时看房。,森雅谷润筑园 , | 1室0厅 | 36.66平米 | 东南 | 精装,中楼层(共16层)2010年建塔楼  -  ,大运新城,159人关注 / 2个月以前发布,128,单价34916元/平米
南山区好房安静精装1房楼下9号地铁口购物公园,百富大厦南山区 , | 1室1厅 | 36.33平米 | 西南 | 精装,低楼层(共24层)2004年建板塔结合  -  ,南山中心,33人关注 / 5天以前发布,269,单价74044元/平米
看看挂盘的房子，再看看这个房子。,鸿荣源·壹成中心第六区 , | 4室2厅 | 88.81平米 | 南 北 | 毛坯,低楼层(共50层)2019年建塔楼  -  ,龙华中心,16人关注 / 7天以前发布,550,单价61930元/平米
朝南两房诚心出售，保养好拎包入住,信义嘉御山 , | 2室2厅 | 73.01平米 | 南 | 精装,低楼层(共26层)2013年建板塔结合  -  ,坂田,105人关注 / 7个月以前发布,440,单价60266元/平米
深蓝季节一室一厅 红本在手 满五年,深蓝季节 , | 1室1厅 | 36.8平米 | 东 | 简装,低楼层(共32层)2007年建塔楼  -  ,后海,28人关注 / 1个月以前发布,298,单价80979元/平米
精装两房 高楼层 客厅正出阳台 满五 免赎楼,中海大山地北区 , | 2室1厅 | 72.23平米 | 东南 | 精装,中楼层(共31层)2009年建板塔结合  -  ,横岗,44人关注 / 2个月以前发布,290,单价40150元/平米
德福花园 电梯两房 朝南 满五唯一 业主诚心出售,德福花园 , | 2室1厅 | 73平米 | 南 | 精装,中楼层(共19层)2003年建塔楼  -  ,布吉街,51人关注 / 3个月以前发布,268,单价36713元/平米
红山居住区莱蒙水榭5期满五年唯一精装修地铁口物业,莱蒙水榭春天5期 , | 2室1厅 | 74.66平米 | 东 | 精装,低楼层(共28层)2012年建板楼  -  ,红山,7人关注 / 15天以前发布,670,单价89741元/平米
南山繁华地段，配套成熟，100平三房，正南向，诚意售,大冲城市花园 , | 3室2厅 | 100平米 | 南 | 精装,低楼层(共38层)2014年建板塔结合  -  ,科技园,22人关注 / 9天以前发布,1080,单价108000元/平米
满五年，红本在手，户型方正，高层采光好,园岭新村 , | 2室1厅 | 82.36平米 | 南 | 简装,高楼层(共8层)1984年建板楼  -  ,园岭,30人关注 / 7个月以前发布,565,单价68602元/平米
地铁口物业，电梯中间楼层，采光通风好，中诚康桥花园,中城康桥花园一期 , | 3室2厅 | 93.57平米 | 北 | 简装,中楼层(共12层)2002年建塔楼  -  ,丹竹头,92人关注 / 1个月以前发布,310,单价33131元/平米
福田  宝生Midtown  新楼盘  南向  高层,宝生Midtown , | 3室2厅 | 87.15平米 | 南 | 毛坯,45层2014年建板塔结合  -  ,石厦,9人关注 / 2个月以前发布,955,单价109582元/平米
坪洲地铁物业 东南朝向 大两房两厅 带顶楼私家花园,福中福花园一期 , | 2室2厅 | 67.98平米 | 东南 | 简装,高楼层(共8层)1999年建板楼  -  ,西乡,48人关注 / 11天以前发布,338,单价49721元/平米
