name,price,commit,market
刺客信条小说全套全集 共15册 正版现货 刺客信条周边书籍 新华书店 送一套大明风云明信片（共3张）——套装含文艺复兴秘密圣战黑旗启示录大革命异端起源沙漠誓言大明风云奥德赛等,￥366.80,20+条评价,浙江外文图书专营店
"刺客信条：大明风云 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥54.00,2.5万+条评价,新星出版社
正版 刺客信条官方小说全套全集8册 文艺复兴秘密圣战黑旗启示录大革命异端等 刺客信条周边科幻小说书,￥179.00,1000+条评价,泽存图书专营店
"刺客信条：文艺复兴 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥37.00,2.5万+条评价,新星出版社
"刺客信条：奥德赛 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥48.00,2.5万+条评价,新星出版社
"刺客信条：大革命 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥27.80,2.5万+条评价,新星出版社
【99-10】刺客信条4黑旗爱德华COSPLAY道具大枭雄袖箭袖剑 4代黑旗袖箭散货 均码,￥52.90,800+条评价,聚仁玩具专营店
"刺客信条：秘密圣战（附明信片+书签） 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥38.00,2.5万+条评价,新星出版社
"刺客信条 黑旗 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥38.00,2.5万+条评价,新星出版社
"刺客信条起源：沙漠誓言 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥48.00,2.5万+条评价,新星出版社
"刺客信条：遗弃 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥38.00,2.5万+条评价,新星出版社
"刺客信条：兄弟会 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥40.00,2.5万+条评价,新星出版社
刺客信条4黑旗爱德华COSPLAY道具大枭雄袖箭袖剑刃 锰钢版送护臂 均码 万物皆虚，万事皆允。【本产品为手工制作，完美主义者慎拍，有问题可以联系客服】,￥499.00,700+条评价,聚仁益智玩具专营店
"刺客信条：启示录 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥39.00,2.5万+条评价,新星出版社
"刺客信条套装（套装全3册） 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥85.30,100+条评价,接力出版社自营店铺
"刺客信条：底层世界 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥38.00,2.5万+条评价,新星出版社
"刺客信条：异端 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥38.00,2.5万+条评价,新星出版社
"刺客信条：奥德赛艺术设定集 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥268.00,2.5万+条评价,新星出版社
现货正版 刺客信条：奥德赛 戈登·多尔蒂 官方剧情小说书籍古希腊之旅 被家族抛弃之人到传奇英雄的史,￥32.60,10+条评价,邦道图书专营店
索尼（SONY） 【好评过万】【PS4slim/Pro全新正版原封热门游戏软件/光盘】 【动作角色扮演】奥德赛 中文,￥209.00,2.9万+条评价,宁心力合数码专营店
海囤全球,￥239.00,任天堂（Nintendo） Switch NS 游戏主机掌机游戏 Switch游戏卡 刺客信条3 中文 现货,2100+条评价
刺客信条4黑旗爱德华COSPLAY道具大枭雄袖箭袖剑刃 老款金属袖剑(入门推荐)送护臂 均码,￥289.00,700+条评价,聚仁益智玩具专营店
任天堂（Nintendo） Switch 游戏卡 全新原封盒装正版游戏 NS 正版游戏卡带 刺客信条3 重制版 中文版,￥255.00,100+条评价,索伲鑫游戏设备专营店
索尼（SONY）PS4slim/Pro 全新原装正版原封 PS4热门游戏软件/游戏光盘 【动作冒险】奥德赛 中文,￥185.00,80+条评价,世嘉通游戏设备专营店
索尼（SONY）PS4 Slim/Pro正版游戏软件/光盘 刺客信条：奥德赛（中文） 游戏现货促销，热门大作等你玩，速度快不快，商品好不好，请看店面评分！侍魂晓血污等新游戏新品上架,￥215.00,1100+条评价,索骏数码专营店
现货当天发 全新PS4正版实体光盘 沙盒动作游戏 刺客信条5 大革命 中文版 支持所有版本的索尼PS4/Pro/Silm游戏机！,￥255.00,700+条评价,俱康游戏专营店
