rank,score,types,regions,title,actors
1,9.6,喜剧,英国,憨豆先生精选辑,"罗温·艾金森,Paul Bown,理查德·布赖尔斯,Angus Deayton,罗宾·德里斯科尔,卡罗琳·昆汀,Rudolph Walker,理查德·威尔逊"
2,9.5,"剧情,喜剧,爱情,战争",意大利,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克,玛丽萨·帕雷德斯,霍斯特·布赫霍尔茨,利迪娅·阿方西,朱利亚娜·洛约迪切,亚美利哥·丰塔尼,彼得·德·席尔瓦,弗朗西斯·古佐,拉法埃拉·莱博罗尼,克劳迪奥·阿方西,吉尔·巴罗尼,马西莫·比安奇,恩尼奥·孔萨尔维,吉安卡尔洛·科森蒂诺,阿伦·克雷格,汉尼斯·赫尔曼,弗兰科·梅斯科利尼,安东尼奥·普雷斯特,吉娜·诺维勒,理查德·塞梅尔,安德烈提多娜,迪尔克·范登贝格,奥梅罗·安东努蒂,李靖飞,沈晓谦,张欣"
3,9.4,"喜剧,奇幻",美国,福尔摩斯二世,"巴斯特·基顿,凯瑟琳·麦奎尔,乔·基顿"
4,9.3,"剧情,喜剧,爱情",美国,摩登时代,"查理·卓别林,宝莲·高黛,亨利·伯格曼,Tiny Sandford,切斯特·康克林,汉克·曼,Stanley Blystone,阿尔·欧内斯特·加西亚,理查德·亚历山大,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,威尔弗雷德·卢卡斯,Edward LeSaint,Fred Malatesta,Sammy Stein,Ted Oliver,Norman Ainsley,Bobby Barber,海尼·康克林,格洛丽亚·德黑文,Pat Flaherty,Frank Hagney,Pat Harmon,劳埃德·英格拉哈姆,沃尔特·詹姆斯,Edward Kimball,Jack Low,Buddy Messinger,Bruce Mitchell,Frank Moran,James C. Morton,Louis Natheaux,J·C·纽金特,拉斯·鲍威尔,约翰兰德,哈里·威尔逊"
5,9.3,"喜剧,剧情,爱情",美国,城市之光,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,亨利·伯格曼,珍·哈露,哈利·迈耶斯,约翰兰德,罗伯特·帕里什,罗伯特·格雷夫斯"
6,9.3,"喜剧,同性",英国,极品基老伴：完结篇,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦,菲利普-沃斯,艾琳·阿特金斯,弗兰西斯·巴贝,阿利斯泰尔·布拉默,理查德·加德"
7,9.3,喜剧,英国,西蒙·阿姆斯特尔：顺其自然,西蒙·阿姆斯特尔
8,9.3,"剧情,喜剧,动画",USA,拽妹黛薇儿要上大学了没,"John Lynn,Amir Williams,马克·汤普森,Becca Lish,温迪胡普斯,莎拉·德鲁,Bart Fasbender,费舍·史蒂芬斯,吉奥弗瑞·阿伦德"
9,9.2,"剧情,喜剧,爱情,歌舞",印度,三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安,Atul Tiwari,阿里·扎勒,帕里卡沙特.萨赫尼,Rakesh Sharma,Javed Jaffrey"
10,9.2,"喜剧,动画,冒险",美国,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·马吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温,季冠霖,佟心竹,容祖儿,黄子华,蔡依林,戴维德·迪格斯,张震,尼古拉斯·格斯特"
