rank,score,types,regions,title,actors
1,9.6,"剧情,犯罪,悬疑",美国,控方证人,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,爱尔莎·兰切斯特,约翰·威廉姆斯,亨利·丹尼尔,伊安·沃尔夫,托林·撒切尔,诺玛·威登,尤娜·奥康纳,茹塔·李,贝丝·弗劳尔斯,比尔·厄尔文,J·帕特·奥马利,本·怀特,Paul Kruger,Jack Raine,Paul Power,乔治·佩林,威廉·H·奥布莱恩,奥托拉内史密斯,Frank McClure,Colin Kenny,Jeanne Lafayette,Wilbur Mack,Fred Rapport,Leoda Richards,Glen Walters,Arthur Tovey,Bert Stevens,Cap Somers,Lucille Sewall,Scott Seaton,Norbert Schiller,杰弗里·塞尔,John Roy,Al Roberts,Art Howard,Stuart Hall,Francis Compton,Philip Tonge,帕特里克·艾亨,富兰克林·法纳姆,玛乔丽·伊顿,Steve Carruthers,George Calliga,乔治布鲁格曼,Danny Borzage,Brandon Beach,Eddie Baker,Walter Bacon"
2,9.5,"剧情,犯罪,悬疑",美国,十二怒汉,"罗伯特·卡明斯,法兰奇·汤恩,爱德华·阿诺德,保罗·哈特曼,约翰·贝尔,沃尔特·艾贝尔,乔治·沃斯科维奇,约瑟夫·史威尼,巴特·伯恩斯,诺曼·费尔,李·飞利浦,Larkin Ford"
3,9.4,"剧情,犯罪,悬疑","美国,英国",控方证人,"拉尔夫·理查德森,黛博拉·蔻儿,博·布里奇斯,黛安娜·里格,温蒂·希勒,唐纳德·普利森斯,彼得·萨利斯,弗兰克·米尔斯"
4,9.3,"剧情,科幻,悬疑,冒险","美国,英国",盗梦空间,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉,汤姆·哈迪,渡边谦,迪利普·劳,基里安·墨菲,汤姆·贝伦杰,玛丽昂·歌迪亚,皮特·波斯尔思韦特,迈克尔·凯恩,卢卡斯·哈斯,李太力,克莱尔·吉尔蕾,马格努斯·诺兰,泰勒·吉蕾,乔纳森·吉尔,水源士郎,冈本玉二,厄尔·卡梅伦,瑞恩·海沃德,米兰达·诺兰,拉什·费加,蒂姆·科勒赫,妲露拉·莱莉,玛格丽特·因索利亚,吉尔·马德雷尔,迈克尔·加斯顿"
5,9.2,"剧情,犯罪,悬疑",香港,无间道,"刘德华,梁朝伟,黄秋生,曾志伟,郑秀文,陈慧琳,陈冠希,余文乐,林家栋,萧亚轩,利沙华,张艺,李天翔,林迪安,何华超,吴廷烨,洪智杰,尹志强,叶清"
6,9.1,"剧情,悬疑",德国,窃听风暴,"乌尔里希·穆埃,马蒂娜·格德克,塞巴斯蒂安·科赫,乌尔里希·图库尔,托马斯·蒂梅,汉斯-尤韦·鲍尔,沃克马·克莱纳特,马提亚斯·布伦纳,查理·哈纳,赫伯特·克瑙普,巴斯蒂安·特罗斯特,玛丽·格鲁伯,维尔纳·德恩,马丁·布拉巴赫,托马斯·阿诺德,辛纳克·勋纳曼,路德韦格·布洛克伯格,迈克尔·格伯,吉塔·施维赫夫,希尔德加德·斯罗德,伊嘉·比肯费尔德,凯·伊沃·保利兹,克劳斯·芒斯特"
7,9.1,"剧情,犯罪,悬疑,惊悚",意大利,看不见的客人(意大利版),"里卡多·斯卡马乔,米莱姆·里昂,马丽娅·派雅托,法布里齐奥·本蒂沃利奥,萨拉·卡迪纳莱蒂,尼古拉·潘内利,塞尔吉奥·罗马诺,阿斯卡尼奥·巴尔博,保罗·桑博,杰拉尔多·德布拉西奥,亚历山德拉·卡里略"
8,9.1,"犯罪,悬疑",英国,帷幕：波洛的最后一案,"大卫·苏切,休·弗拉瑟,艾丹·麦克阿德尔,艾丽丝·奥尔尤因,海伦·巴克森代尔,大卫·叶兰德,肖恩·丁沃,菲利普·格伦尼斯特"
9,9.0,"剧情,动作,悬疑,惊悚","美国,德国",搏击俱乐部,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,扎克·格雷尼尔,米特·洛夫,杰瑞德·莱托,艾恩·贝利,里奇蒙德·阿奎特 ,乔治·马奎尔,鲍勃·斯蒂芬森,Carl Ciarfalio,斯图尔特·布拉姆博格,马特·温斯顿,劳伦·桑切斯,迈克尔·肖姆斯·维尔斯,保罗·卡拉夫特斯,Scotch Ellis Loring,大卫·安德鲁斯,Andi Carnick,Markus Redmond,Eugenie Bondurant,Tyrone R. Livingston,Kevin Scott Mack,Bennie Moore,Evan Mirand,乔伊·比索奈特,Christina Cabot,大卫·李·史密斯,霍特·麦克卡兰尼"
10,9.0,"犯罪,悬疑",日本,古畑任三郎完结篇 重生之死,"田村正和,西村雅彦,石井正则,石坂浩二,藤原龙也,松岛菜菜子,矢岛健一,铃木一朗,小林隆"
11,9.0,"剧情,悬疑","匈牙利,德国,瑞士",撒旦探戈,"普吉·霍瓦特,拉斯洛·费卢戈希,Irén Szajki,奥尔弗雷德·亚劳伊,彼得·多鲍伊,班纳·米霍克,佐坦·卡蒙地,Erzsébet Gaál,米克洛什·B·塞凯伊,埃娃·奥尔马希·奥尔贝特,艾丽卡·博克,米哈伊·维格,György Barkó"
12,8.9,"动画,悬疑,科幻,惊悚",日本,红辣椒,"林原惠美,江守彻,堀胜之祐,古谷彻,大塚明夫,山寺宏一,田中秀幸,兴梠里美,岩田光央,爱河里花子,太田真一郎,福松进纱,胜杏里,宫下荣治,三户耕三,今敏,筒井康隆"
13,8.9,"悬疑,惊悚,恐怖",美国,惊魂记,"珍妮特·利,安东尼·博金斯,维拉·迈尔斯,马丁·鲍尔萨姆,约翰·加文,约翰·麦克因泰,西蒙·奥克兰,弗兰克·艾伯森,阿尔弗雷德·希区柯克"
